protocol,run,nGcs,nUavs,nNodes,simTime,areaSize,txRange,nodeSpeed,nodeMinSpeed,fixedNodeSpeed,nodePause,uavMinAltitude,uavMaxAltitude,txPowerDbm,rxSensitivityDbm,appStart,appStop,remoteIdEnabled,telemetry_flowCount,telemetry_successfulFlows,telemetry_txPackets,telemetry_rxPackets,telemetry_pdr,telemetry_loss,telemetry_delayMs,telemetry_throughputKbps,telemetry_offeredLoadKbps,c2Control_flowCount,c2Control_successfulFlows,c2Control_txPackets,c2Control_rxPackets,c2Control_pdr,c2Control_loss,c2Control_delayMs,c2Control_throughputKbps,c2Control_offeredLoadKbps,c2Command_flowCount,c2Command_successfulFlows,c2Command_txPackets,c2Command_rxPackets,c2Command_pdr,c2Command_loss,c2Command_delayMs,c2Command_throughputKbps,c2Command_offeredLoadKbps,totalC2_flowCount,totalC2_successfulFlows,totalC2_txPackets,totalC2_rxPackets,totalC2_pdr,totalC2_loss,totalC2_delayMs,totalC2_throughputKbps,totalC2_offeredLoadKbps,video_flowCount,video_successfulFlows,video_txPackets,video_rxPackets,video_pdr,video_loss,video_delayMs,video_throughputKbps,video_offeredLoadKbps,routing_flowEntries,routing_activeEntries,routing_txPackets,routing_rxPackets,routing_txBytes,routing_rxBytes,routing_offeredLoadKbps,routingBytesPerDeliveredAppByte,routingPacketsPerDeliveredAppPacket,remoteId_txPackets,remoteId_rxCopies,remoteId_txBytes,remoteId_rxBytes,remoteId_avgReceivers,remoteId_receptionRatio,remoteId_offeredLoadKbps,remoteId_receivedCopyLoadKbps
AODV_ETX,3,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,10,3482,2988,85.812751,14.187249,30.422346,53.271771,62.079086,10,10,13745,12324,89.661695,10.338305,20.410719,129.578057,144.518857,10,10,466,413,88.626609,11.373391,13.343186,7.363200,8.308114,20,20,14211,12737,89.627753,10.372247,20.181552,136.941257,152.826971,10,10,670,607,90.597015,9.402985,10.964077,72.978743,80.553143,82,79,1218,1158,59424,56610,6.791314,0.025804,0.074578,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV_ETX,4,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,10,3482,2543,73.032740,26.967260,50.508258,45.338057,62.079086,10,10,13745,10090,73.408512,26.591488,37.506850,106.089143,144.518857,10,10,459,343,74.727669,25.272331,12.254442,6.115200,8.183314,20,20,14204,10433,73.451141,26.548859,36.676640,112.204343,152.702171,10,10,735,532,72.380952,27.619048,80.788866,63.961600,88.368000,64,62,1048,1025,50158,48918,5.732343,0.025879,0.077584,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV_ETX,5,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,10,3482,3192,91.671453,8.328547,45.460430,56.908800,62.079086,10,10,13745,12595,91.633321,8.366679,21.004418,132.427429,144.518857,10,10,446,398,89.237668,10.762332,20.180651,7.095771,7.951543,20,20,14191,12993,91.558030,8.441970,20.979184,139.523200,152.470400,10,10,581,543,93.459552,6.540448,2.746870,65.284114,69.852800,66,64,827,774,39842,37428,4.553371,0.017398,0.049438,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV_ETX,1,1,12,13,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,12,12,4176,3400,81.417625,18.582375,30.366912,60.617143,74.452114,12,12,16482,14647,88.866642,11.133358,12.812083,154.002743,173.296457,12,12,542,464,85.608856,14.391144,27.348550,8.272457,9.663086,24,24,17024,15111,88.762923,11.237077,13.258441,162.275200,182.959543,12,11,724,678,93.646409,6.353591,54.032259,81.514971,87.045486,105,99,1196,1033,58046,49798,6.633829,0.021793,0.062327,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV_ETX,2,1,12,13,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,12,12,4176,3790,90.756705,9.243295,9.061342,67.570286,74.452114,12,12,16482,15622,94.782187,5.217813,3.008959,164.254171,173.296457,12,12,636,607,95.440252,4.559748,0.596895,10.821943,11.338971,24,24,17118,16229,94.806636,5.193364,2.918743,175.076114,184.635429,12,12,996,889,89.257028,10.742972,11.547049,106.883200,119.747657,102,101,1009,996,48278,47666,5.517486,0.015785,0.048259,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV_ETX,3,1,12,13,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,12,12,4176,3567,85.416667,14.583333,10.588046,63.594514,74.452114,12,12,16482,14736,89.406625,10.593375,6.024526,154.938514,173.296457,12,12,624,554,88.782051,11.217949,7.107537,9.877029,11.125029,24,24,17106,15290,89.383842,10.616158,6.063766,164.815543,184.421486,12,12,844,740,87.677725,12.322275,2.008336,88.969143,101.472914,116,113,1278,1219,61512,58446,7.029943,0.022150,0.065214,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV_ETX,4,1,12,13,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,12,12,4176,3409,81.633142,18.366858,49.826685,60.777600,74.452114,12,12,16482,13389,81.234074,18.765926,31.697249,140.775771,173.296457,12,12,606,508,83.828383,16.171617,6.940200,9.056914,10.804114,24,24,17088,13897,81.326077,18.673923,30.792264,149.832686,184.100571,12,12,700,546,78.000000,22.000000,21.012842,65.644800,84.160000,115,112,3528,3428,168250,162960,19.228571,0.069604,0.197625,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV_ETX,5,1,12,13,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,12,12,4176,2662,63.745211,36.254789,18.990768,47.459657,74.452114,12,12,16482,14116,85.644946,14.355054,4.113589,148.419657,173.296457,12,12,622,547,87.942122,12.057878,3.183588,9.752229,11.089371,24,24,17104,14663,85.728485,14.271515,4.078896,158.171886,184.385829,12,12,630,434,68.888889,31.111111,22.159324,52.179200,75.744000,132,125,1308,1170,63356,56476,7.240686,0.028085,0.073653,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV_ETX,1,1,15,16,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,15,15,5214,4328,83.007288,16.992712,9.126239,77.162057,92.958171,15,15,20580,18363,89.227405,10.772595,24.400181,193.073829,216.384000,15,15,723,650,89.903181,10.096819,26.033605,11.588571,12.890057,30,30,21303,19013,89.250340,10.749660,24.456023,204.662400,229.274057,14,14,1128,893,79.166667,20.833333,8.609989,107.364114,135.617829,202,200,7614,7336,370774,357074,42.374171,0.108878,0.314187,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV_ETX,2,1,15,16,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,15,15,5214,4242,81.357883,18.642117,75.247302,75.628800,92.958171,15,15,20580,17989,87.410107,12.589893,5.686779,189.141486,216.384000,15,15,667,595,89.205397,10.794603,0.617355,10.608000,11.891657,30,30,21247,18584,87.466466,12.533534,5.524473,199.749486,228.275657,15,14,1224,1066,87.091503,12.908497,3.055526,128.163657,147.159771,187,182,3255,3081,156866,148342,17.927543,0.044425,0.136238,0,0,0,0,0.000000,0.000000,0.000000,0.000000
