protocol,run,nGcs,nUavs,nNodes,simTime,areaSize,txRange,nodeSpeed,nodeMinSpeed,fixedNodeSpeed,nodePause,mobilityModel,randomWalkTime,gaussMarkovAlpha,gaussMarkovTimeStep,groupRadius,uavMinAltitude,uavMaxAltitude,txPowerDbm,rxSensitivityDbm,appStart,appStop,remoteIdEnabled,telemetry_flowCount,telemetry_successfulFlows,telemetry_txPackets,telemetry_rxPackets,telemetry_pdr,telemetry_loss,telemetry_delayMs,telemetry_throughputKbps,telemetry_offeredLoadKbps,c2Control_flowCount,c2Control_successfulFlows,c2Control_txPackets,c2Control_rxPackets,c2Control_pdr,c2Control_loss,c2Control_delayMs,c2Control_throughputKbps,c2Control_offeredLoadKbps,c2Command_flowCount,c2Command_successfulFlows,c2Command_txPackets,c2Command_rxPackets,c2Command_pdr,c2Command_loss,c2Command_delayMs,c2Command_throughputKbps,c2Command_offeredLoadKbps,totalC2_flowCount,totalC2_successfulFlows,totalC2_txPackets,totalC2_rxPackets,totalC2_pdr,totalC2_loss,totalC2_delayMs,totalC2_throughputKbps,totalC2_offeredLoadKbps,video_flowCount,video_successfulFlows,video_txPackets,video_rxPackets,video_pdr,video_loss,video_delayMs,video_throughputKbps,video_offeredLoadKbps,routing_flowEntries,routing_activeEntries,routing_txPackets,routing_rxPackets,routing_txBytes,routing_rxBytes,routing_offeredLoadKbps,routingBytesPerDeliveredAppByte,routingPacketsPerDeliveredAppPacket,remoteId_txPackets,remoteId_rxCopies,remoteId_txBytes,remoteId_rxBytes,remoteId_avgReceivers,remoteId_receptionRatio,remoteId_offeredLoadKbps,remoteId_receivedCopyLoadKbps
OLSR,1,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,GAUSS_MARKOV,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,9,9,1642,1326,80.755177,19.244823,8.477975,23.640686,29.274514,10,10,6695,5303,79.208364,20.791636,3.632247,55.757257,70.393143,10,9,297,203,68.350168,31.649832,3.424366,3.619200,5.295086,20,19,6992,5506,78.747140,21.252860,3.624583,59.376457,75.688229,9,9,509,400,78.585462,21.414538,8.982371,48.091429,61.196343,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000
OLSR,2,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,GAUSS_MARKOV,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,10,2474,1941,78.455942,21.544058,6.377840,34.605257,44.107886,10,10,10145,7642,75.327748,24.672252,5.503870,80.350171,106.667429,10,9,340,247,72.647059,27.352941,1.366744,4.403657,6.061714,20,19,10485,7889,75.240820,24.759180,5.374339,84.753829,112.729143,10,10,520,376,72.307692,27.692308,0.987106,45.205943,62.518857,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000
OLSR,3,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,GAUSS_MARKOV,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,9,9,1713,1425,83.187391,16.812609,4.613719,25.405714,30.540343,9,9,7236,5786,79.961305,20.038695,3.699209,60.835657,76.081371,8,8,288,246,85.416667,14.583333,1.119295,4.385829,5.134629,17,17,7524,6032,80.170122,19.829878,3.593994,65.221486,81.216000,9,9,504,411,81.547619,18.452381,0.682711,49.413943,60.595200,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000
OLSR,4,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,GAUSS_MARKOV,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,10,1704,1005,58.978873,41.021127,7.570535,17.917714,30.379886,10,9,6082,3948,64.912858,35.087142,4.809952,41.510400,63.947886,10,8,221,151,68.325792,31.674208,1.776575,2.692114,3.940114,20,17,6303,4099,65.032524,34.967476,4.698208,44.202514,67.888000,9,9,345,217,62.898551,37.101449,2.957651,26.089600,41.478857,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000
OLSR,5,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,GAUSS_MARKOV,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,9,2031,1284,63.220089,36.779911,3.463659,22.891886,36.209829,10,9,8299,5021,60.501265,39.498735,5.065782,52.792229,87.258057,10,9,354,219,61.864407,38.135593,3.460509,3.904457,6.311314,20,18,8653,5240,60.557032,39.442968,4.998691,56.696686,93.569371,8,8,389,298,76.606684,23.393316,0.746785,35.828114,46.768914,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000
OLSR,1,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,GROUP,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,10,2738,2372,86.632579,13.367421,3.771458,42.289371,48.814629,10,10,11435,9524,83.288150,16.711850,2.607167,100.138057,120.230857,10,10,455,374,82.197802,17.802198,1.437478,6.667886,8.112000,20,20,11890,9898,83.246426,16.753574,2.562970,106.805943,128.342857,10,10,613,505,82.381729,17.618271,0.438547,60.715429,73.700114,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000
OLSR,2,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,GROUP,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,10,2516,1950,77.503975,22.496025,0.856655,34.765714,44.856686,10,10,9805,7859,80.152983,19.847017,2.163717,82.631771,103.092571,10,10,344,286,83.139535,16.860465,0.992992,5.098971,6.133029,20,20,10149,8145,80.254212,19.745788,2.122609,87.730743,109.225600,10,10,560,335,59.821429,40.178571,0.485007,40.276571,67.328000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000
OLSR,3,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,GROUP,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,10,1988,1293,65.040241,34.959759,4.956809,23.052343,35.443200,10,10,7805,5286,67.725817,32.274183,3.668212,55.578514,82.064000,9,9,259,155,59.845560,40.154440,2.963479,2.763429,4.617600,19,19,8064,5441,67.472718,32.527282,3.648136,58.341943,86.681600,10,8,398,258,64.824121,35.175879,0.442304,31.018971,47.850971,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000
OLSR,4,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,GROUP,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,10,788,291,36.928934,63.071066,37.848376,5.188114,14.048914,10,10,3015,1073,35.588723,64.411277,8.021413,11.281829,31.700571,7,3,56,21,37.500000,62.500000,3.392192,0.374400,0.998400,17,13,3071,1094,35.623575,64.376425,7.932552,11.656229,32.698971,4,0,64,0,0.000000,100.000000,nan,0.000000,7.694629,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000
OLSR,5,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,GROUP,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,10,2281,1737,76.150811,23.849189,1.403386,30.968229,40.666971,10,10,8565,6912,80.700525,19.299475,3.279405,72.674743,90.054857,10,10,261,183,70.114943,29.885057,1.980529,3.262629,4.653257,20,20,8826,7095,80.387492,19.612508,3.245903,75.937371,94.708114,10,10,439,295,67.198178,32.801822,0.486595,35.467429,52.780343,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000
DSDV,1,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,RWP,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,10,3482,1993,57.237220,42.762780,21.858585,35.532343,62.079086,10,10,13745,7122,51.815206,48.184794,9.405296,74.882743,144.518857,10,9,374,203,54.278075,45.721925,14.465597,3.619200,6.667886,20,19,14119,7325,51.880445,48.119555,9.545533,78.501943,151.186743,10,9,805,415,51.552795,48.447205,3.897933,49.894857,96.784000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000
DSDV,2,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,RWP,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,10,3482,2295,65.910396,34.089604,26.971582,40.916571,62.079086,10,10,13745,9966,72.506366,27.493634,11.100351,104.785371,144.518857,10,10,416,256,61.538462,38.461538,5.516580,4.564114,7.416686,20,20,14161,10222,72.184168,27.815832,10.960511,109.349486,151.935543,10,10,858,551,64.219114,35.780886,0.930109,66.245943,103.156114,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000
